;Event Count;Start Date;End Date;Dis Mag Value;Total Deaths;Total Affected;Total Damages, Adjusted ('000 US$')
cw;179;1.0;0.994413407821229;0.46368715083798884;0.8268156424581006;0.30726256983240224;0.0782122905027933
cw,ew;36;1.0;1.0;0.027777777777777776;0.7222222222222222;0.3611111111111111;0.4722222222222222
dr;153;0.954248366013072;0.5098039215686274;0.11764705882352941;0.032679738562091505;0.6274509803921569;0.35294117647058826
dr,hw;23;1.0;0.782608695652174;0.2608695652173913;0.5217391304347826;0.21739130434782608;0.782608695652174
eq;326;1.0;1.0;1.0;0.588957055214724;0.9570552147239264;0.3558282208588957
eq,ls;70;1.0;1.0;1.0;0.7714285714285715;1.0;0.5142857142857142
ew;868;1.0;1.0;0.29493087557603687;0.6912442396313364;0.663594470046083;0.4619815668202765
ew,fl;277;1.0;1.0;0.3971119133574007;0.7833935018050542;0.8375451263537906;0.5487364620938628
ew,fl,ls;160;1.0;1.0;0.3875;0.95625;0.9125;0.725
ew,ls;35;1.0;1.0;0.2857142857142857;0.8571428571428571;0.8571428571428571;0.45714285714285713
fl;1832;0.9994541484716157;1.0;0.4361353711790393;0.6697598253275109;0.8700873362445415;0.263646288209607
fl,ls;550;1.0;1.0;0.49818181818181817;0.8727272727272727;0.9181818181818182;0.38727272727272727
hw;87;1.0;1.0;0.7471264367816092;0.9195402298850575;0.3563218390804598;0.05747126436781609
ls;284;1.0;1.0;0.0;0.9612676056338029;0.6161971830985915;0.09507042253521127
vo;77;1.0;0.987012987012987;0.0;0.11688311688311688;0.8831168831168831;0.12987012987012986
