;Records;No records;Hazards;No hazards
2000-0050-MNG;"[""2000-0050-MNG""]";1;"[""ew"", ""cw""]";2
2000-0020-IND;"[""2000-0020-IND""]";1;"[""cw""]";1
2000-0019-BRA;"[""2000-0019-BRA""]";1;"[""fl"", ""ls""]";2
2000-0096-SWZ;"[""2000-0096-SWZ""]";1;"[""fl""]";1
2000-0003-BGD;"[""2000-0003-BGD""]";1;"[""cw""]";1
2000-0029-BGR;"[""2000-0029-BGR""]";1;"[""cw""]";1
2000-0092-EGY;"[""2000-0092-EGY""]";1;"[""cw""]";1
2000-0028-ROU;"[""2000-0028-ROU""]";1;"[""ew""]";1
2000-0023-BGD;"[""2000-0003-BGD"", ""2000-0023-BGD""]";2;"[""cw"", ""eq""]";2
2000-0021-USA;"[""2000-0021-USA""]";1;"[""ew""]";1
2000-0002-AGO;"[""2000-0002-AGO""]";1;"[""fl""]";1
2000-0163-CHN;"[""2000-0163-CHN""]";1;"[""ew""]";1
2000-0041-CHN;"[""2000-0041-CHN""]";1;"[""eq""]";1
2000-0033-CHN;"[""2000-0033-CHN""]";1;"[""eq""]";1
2000-0008-GTM;"[""2000-0008-GTM""]";1;"[""vo""]";1
2000-0164-RUS;"[""2000-0164-RUS""]";1;"[""ls""]";1
2000-0094-ISR;"[""2000-0094-ISR""]";1;"[""ew""]";1
2000-0919-USA;"[""2000-0919-USA""]";1;"[""ew"", ""cw""]";2
2000-0066-PHL;"[""2000-0066-PHL""]";1;"[""fl""]";1
2000-0095-JOR;"[""2000-0095-JOR""]";1;"[""ew""]";1
2000-0036-CHN;"[""2000-0033-CHN"", ""2000-0036-CHN""]";2;"[""eq"", ""eq""]";2
2000-0012-MOZ;"[""2000-0012-MOZ""]";1;"[""fl""]";1
2000-0043-ZAF;"[""2000-0043-ZAF""]";1;"[""fl""]";1
2000-0083-ZWE;"[""2000-0083-ZWE""]";1;"[""fl""]";1
2000-0038-PHL;"[""2000-0038-PHL""]";1;"[""fl"", ""ls""]";2
2000-0037-REU;"[""2000-0037-REU""]";1;"[""ew""]";1
2000-0098-COL;"[""2000-0098-COL""]";1;"[""fl""]";1
2000-0165-RUS;"[""2000-0165-RUS""]";1;"[""cw""]";1
2000-0048-BWA;"[""2000-0048-BWA""]";1;"[""fl""]";1
2000-0079-NAM;"[""2000-0079-NAM""]";1;"[""fl""]";1
2000-0051-IRN;"[""2000-0051-IRN""]";1;"[""eq""]";1
2000-0905-BOL;"[""2000-0905-BOL""]";1;"[""fl"", ""ls""]";2
