No Records;Hazards;No hazards;Total deaths;Total affected;Total damages;Time lag;Spatial overlap
1;"[""ew"", ""cw""]";2;4.0;500000.0;135960.0;91.0;0.5
1;"[""cw""]";1;275.0;;;91.0;0.5
1;"[""fl"", ""ls""]";2;26.0;70000.0;;91.0;0.5
1;"[""fl""]";1;;272000.0;85.0;91.0;0.5
1;"[""cw""]";1;3.0;105.0;;91.0;0.5
2;"[""cw"", ""eq""]";2;;;;91.0;0.5
1;"[""fl""]";1;31.0;70000.0;16995.0;91.0;0.5
1;"[""ew""]";1;9.0;18004.0;5268.0;91.0;0.5
1;"[""eq""]";1;;62030.0;;91.0;0.5
1;"[""vo""]";1;;800.0;;91.0;0.5
1;"[""ls""]";1;20.0;;;91.0;0.5
1;"[""ew""]";1;3.0;410.0;4674.0;91.0;0.5
1;"[""ew"", ""cw""]";2;4.0;;594827.0;91.0;0.5
1;"[""fl""]";1;;5250.0;;91.0;0.5
1;"[""ew""]";1;9.0;200.0;;91.0;0.5
2;"[""eq"", ""eq""]";2;8.0;1865309.0;125735.0;91.0;0.5
1;"[""fl""]";1;800.0;4500000.0;712433.0;91.0;0.5
1;"[""fl""]";1;83.0;200.0;271921.0;91.0;0.5
1;"[""fl""]";1;70.0;266000.0;123894.0;91.0;0.5
1;"[""fl"", ""ls""]";2;50.0;153885.0;6934.0;91.0;0.5
1;"[""ew""]";1;2.0;600.0;;91.0;0.5
1;"[""fl""]";1;8.0;39000.0;;91.0;0.5
1;"[""cw""]";1;13.0;252.0;;91.0;0.5
1;"[""fl""]";1;3.0;138776.0;8498.0;91.0;0.5
1;"[""fl""]";1;;5000.0;;91.0;0.5
1;"[""eq""]";1;1.0;2015.0;;91.0;0.5
1;"[""fl"", ""ls""]";2;30.0;10.0;;91.0;0.5
1;"[""ls""]";1;6.0;403.0;;91.0;0.5
1;"[""ew""]";1;22.0;1000.0;;91.0;0.5
1;"[""eq""]";1;;1000.0;;91.0;0.5
1;"[""ew"", ""fl""]";2;130.0;736937.0;15296.0;91.0;0.5
2;"[""ew"", ""fl"", ""ls""]";3;4.0;393.0;;91.0;0.5
1;"[""ew""]";1;17.0;;1700.0;91.0;0.5
1;"[""ls""]";1;34.0;;19714.0;91.0;0.5
1;"[""vo""]";1;;68426.0;3763.0;91.0;0.5
1;"[""ew"", ""fl""]";2;1.0;200.0;152955.0;91.0;0.5
1;"[""fl""]";1;;20000.0;1700.0;91.0;0.5
1;"[""fl""]";1;;19800.0;8961.0;91.0;0.5
1;"[""dr""]";1;;;10197.0;91.0;0.5
1;"[""dr""]";1;;;;91.0;0.5
2;"[""cw"", ""dr""]";2;;;;91.0;0.5
2;"[""cw"", ""ew""]";2;;;;91.0;0.5
1;"[""fl""]";1;;;135960.0;91.0;0.5
1;"[""fl""]";1;7.0;6000.0;;91.0;0.5
1;"[""fl""]";1;;7000.0;;91.0;0.5
1;"[""fl"", ""ls""]";2;22.0;50.0;;91.0;0.5
1;"[""fl""]";1;3.0;6000.0;;91.0;0.5
