Events;No events;Hazards;No hazards;Total deaths;Total affected;Total damages;Time lag;Spatial overlap
['2000-0050-MNG'];1;"[""ew"", ""cw""]";2;4.0;500000.0;135960.0;182;1
['2000-0020-IND'];1;"[""cw""]";1;275.0;;;182;1
['2000-0019-BRA'];1;"[""fl"", ""ls""]";2;26.0;70000.0;;182;1
['2000-0096-SWZ'];1;"[""fl""]";1;;272000.0;85.0;182;1
['2000-0092-EGY'];1;"[""cw""]";1;3.0;105.0;;182;1
['2000-0023-BGD'];1;"[""eq""]";1;;1000.0;;182;1
['2000-0002-AGO'];1;"[""fl""]";1;31.0;70000.0;16995.0;182;1
['2000-0163-CHN'];1;"[""ew""]";1;9.0;18004.0;5268.0;182;1
['2000-0041-CHN'];1;"[""eq""]";1;;62030.0;;182;1
['2000-0094-ISR'];1;"[""ew""]";1;3.0;410.0;4674.0;182;1
['2000-0919-USA'];1;"[""ew"", ""cw""]";2;4.0;;594827.0;182;1
['2000-0066-PHL'];1;"[""fl""]";1;;5250.0;;182;1
['2000-0095-JOR'];1;"[""ew""]";1;9.0;200.0;;182;1
['2000-0033-CHN', '2000-0036-CHN'];2;"[""eq"", ""eq""]";2;8.0;1865309.0;125735.0;182;1
['2000-0012-MOZ'];1;"[""fl""]";1;800.0;4500000.0;712433.0;182;1
['2000-0043-ZAF'];1;"[""fl""]";1;83.0;200.0;271921.0;182;1
['2000-0083-ZWE'];1;"[""fl""]";1;70.0;266000.0;123894.0;182;1
['2000-0038-PHL'];1;"[""fl"", ""ls""]";2;50.0;153885.0;6934.0;182;1
['2000-0037-REU'];1;"[""ew""]";1;2.0;600.0;;182;1
['2000-0098-COL'];1;"[""fl""]";1;8.0;39000.0;;182;1
['2000-0048-BWA'];1;"[""fl""]";1;3.0;138776.0;8498.0;182;1
['2000-0079-NAM'];1;"[""fl""]";1;;5000.0;;182;1
['2000-0051-IRN'];1;"[""eq""]";1;1.0;2015.0;;182;1
['2000-0905-BOL'];1;"[""fl"", ""ls""]";2;30.0;10.0;;182;1
['2000-0072-BIH'];1;"[""ls""]";1;6.0;403.0;;182;1
['2000-0065-IRN'];1;"[""eq""]";1;;1000.0;;182;1
['2000-0107-MDG'];1;"[""ew"", ""fl""]";2;130.0;736937.0;15296.0;182;1
['2000-0021-USA', '2000-0080-USA'];2;"[""ew"", ""fl"", ""ls""]";3;4.0;393.0;;182;1
['2000-0107-MOZ'];1;"[""ew""]";1;17.0;;1700.0;182;1
['2000-0082-IDN'];1;"[""ls""]";1;34.0;;19714.0;182;1
['2000-0089-PHL'];1;"[""vo""]";1;;68426.0;3763.0;182;1
['2000-0097-AUS'];1;"[""ew"", ""fl""]";2;1.0;200.0;152955.0;182;1
['2000-0118-MWI'];1;"[""fl""]";1;;20000.0;1700.0;182;1
['2000-0179-RUS'];1;"[""fl""]";1;;19800.0;8961.0;182;1
['2000-0167-ROU'];1;"[""fl""]";1;;3000.0;850.0;182;1
['2000-9138-JAM'];1;"[""dr""]";1;;;10197.0;182;1
['2000-0003-BGD', '2000-0146-BGD'];2;"[""cw"", ""ew""]";2;;;;182;1
['2000-0167-CZE'];1;"[""fl""]";1;;;135960.0;182;1
['2000-0116-ARG'];1;"[""fl""]";1;7.0;6000.0;;182;1
['2000-0130-BOL'];1;"[""fl""]";1;;7000.0;;182;1
['2000-0129-PER'];1;"[""fl"", ""ls""]";2;22.0;50.0;;182;1
['2000-0152-AGO'];1;"[""fl""]";1;3.0;6000.0;;182;1
['2000-0156-CHN'];1;"[""ew""]";1;16.0;53.0;;182;1
['2000-0155-AUT'];1;"[""ls""]";1;13.0;;;182;1
['2000-0176-JPN'];1;"[""vo""]";1;;12400.0;;182;1
['2000-9267-CHN'];1;"[""dr""]";1;;15000000.0;1353002.0;182;1
['2000-0235-KAZ'];1;"[""fl""]";1;;2500.0;2549.0;182;1
['2000-9881-BOL'];1;"[""dr""]";1;;20000.0;;182;1
