Event1;Event2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2000-0003-BGD;2000-0023-BGD;295.0;0.0;0.98;0.98;2000-01-01 00:00:00+00:00;2000-01-02 00:00:00+00:00;1.0
2000-0003-BGD;2000-0146-BGD;2322.0;0.01;1.0;1.0;2000-01-01 00:00:00+00:00;2000-03-05 00:00:00+00:00;64.0
2000-0003-BGD;2000-0211-BGD;20321.0;0.12;0.99;0.99;2000-01-01 00:00:00+00:00;2000-04-21 00:00:00+00:00;111.0
2000-0003-BGD;2000-0229-BGD;6703.0;0.04;0.99;0.99;2000-01-01 00:00:00+00:00;2000-04-11 00:00:00+00:00;101.0
2000-0003-BGD;2000-0283-BGD;20466.0;0.12;1.0;1.0;2000-01-01 00:00:00+00:00;2000-05-27 00:00:00+00:00;147.0
2000-0003-BGD;2000-0294-BGD;36650.0;0.22;1.0;1.0;2000-01-01 00:00:00+00:00;2000-05-23 00:00:00+00:00;143.0
2000-0003-BGD;2000-0373-BGD;23384.0;0.14;0.99;0.99;2000-01-01 00:00:00+00:00;2000-06-24 00:00:00+00:00;175.0
2000-0003-BGD;2000-0631-BGD;14512.0;0.09;1.0;1.0;2000-01-01 00:00:00+00:00;2000-06-25 00:00:00+00:00;176.0
2000-0008-GTM;2000-0299-GTM;160.0;1.0;0.0;1.0;2000-01-16 00:00:00+00:00;2000-06-06 00:00:00+00:00;142.0
2000-0021-USA;2000-0080-USA;166425.0;1.0;0.44;1.0;2000-01-02 00:00:00+00:00;2000-02-18 00:00:00+00:00;47.0
2000-0023-BGD;2000-0283-BGD;295.0;0.98;0.01;0.98;2000-01-02 00:00:00+00:00;2000-05-27 00:00:00+00:00;146.0
2000-0023-BGD;2000-0294-BGD;295.0;0.98;0.01;0.98;2000-01-02 00:00:00+00:00;2000-05-23 00:00:00+00:00;142.0
2000-0023-BGD;2000-0373-BGD;295.0;0.98;0.01;0.98;2000-01-02 00:00:00+00:00;2000-06-24 00:00:00+00:00;174.0
2000-0028-ROU;2000-0187-ROU;62517.0;1.0;0.31;1.0;2000-01-01 00:00:00+00:00;2000-04-05 00:00:00+00:00;95.0
2000-0029-BGR;2000-0382-BGR;13211.0;1.0;0.33;1.0;2000-01-01 00:00:00+00:00;2000-06-01 00:00:00+00:00;152.0
2000-0029-BGR;2000-9788-BGR;13211.0;1.0;0.06;1.0;2000-01-01 00:00:00+00:00;2000-03-01 00:00:00+00:00;60.0
2000-0033-CHN;2000-0036-CHN;468714.0;1.0;1.0;1.0;2000-01-14 00:00:00+00:00;2000-01-26 00:00:00+00:00;12.0
2000-0067-USA;2000-0296-USA;2930.0;0.0;1.0;1.0;2000-02-13 00:00:00+00:00;2000-05-19 00:00:00+00:00;96.0
2000-0067-USA;2000-0297-USA;6654.0;0.01;0.75;0.75;2000-02-13 00:00:00+00:00;2000-05-23 00:00:00+00:00;100.0
2000-0076-ISL;2000-0335-ISL;129460.0;0.7;1.0;1.0;2000-06-21 00:00:00+00:00;2000-06-17 00:00:00+00:00;4.0
2000-0094-ISR;2000-0473-ISR;1036.0;0.97;0.45;0.97;2000-01-19 00:00:00+00:00;2000-07-01 00:00:00+00:00;164.0
2000-0164-RUS;2000-0277-RUS;13322.0;1.0;0.0;1.0;2000-01-19 00:00:00+00:00;2000-05-13 00:00:00+00:00;115.0
2000-0165-RUS;2000-0277-RUS;146343.0;1.0;0.02;1.0;2000-02-01 00:00:00+00:00;2000-05-13 00:00:00+00:00;102.0
2000-0167-ROU;2000-0187-ROU;56630.0;0.99;0.28;0.99;2000-03-01 00:00:00+00:00;2000-04-05 00:00:00+00:00;35.0
2000-0175-USA;2000-0433-USA;3286.0;1.0;0.0;1.0;2000-03-28 00:00:00+00:00;2000-07-01 00:00:00+00:00;95.0
2000-0175-USA;2000-9339-USA;3286.0;1.0;0.0;1.0;2000-03-28 00:00:00+00:00;2000-06-01 00:00:00+00:00;65.0
2000-0200-CHN;2000-0302-CHN;211993.0;1.0;0.12;1.0;2000-04-13 00:00:00+00:00;2000-05-31 00:00:00+00:00;48.0
2000-0200-CHN;2000-0557-CHN;211993.0;1.0;0.44;1.0;2000-04-13 00:00:00+00:00;2000-09-01 00:00:00+00:00;141.0
2000-0200-CHN;2000-0677-CHN;211993.0;1.0;0.85;1.0;2000-04-13 00:00:00+00:00;2000-10-12 00:00:00+00:00;182.0
2000-0200-CHN;2000-9626-CHN;211993.0;1.0;1.0;1.0;2000-04-13 00:00:00+00:00;2000-09-01 00:00:00+00:00;141.0
2000-0211-BGD;2000-0373-BGD;20209.0;0.98;0.85;0.98;2000-04-21 00:00:00+00:00;2000-06-24 00:00:00+00:00;64.0
2000-0230-IDN;2000-0469-IDN;11387.0;0.93;0.99;0.99;2000-05-04 00:00:00+00:00;2000-06-24 00:00:00+00:00;51.0
2000-0232-USA;2000-0297-USA;8866.0;0.03;1.0;1.0;2000-05-06 00:00:00+00:00;2000-05-23 00:00:00+00:00;17.0
2000-0255-ARG;2000-0733-ARG;934494.0;0.9;0.84;0.9;2000-05-15 00:00:00+00:00;2000-11-09 00:00:00+00:00;178.0
2000-0257-PHL;2000-0396-PHL;37.0;0.0;1.0;1.0;2000-05-18 00:00:00+00:00;2000-07-05 00:00:00+00:00;48.0
2000-0257-PHL;2000-0597-PHL;37.0;0.0;1.0;1.0;2000-05-18 00:00:00+00:00;2000-09-04 00:00:00+00:00;109.0
2000-0272-TUR;2000-0381-TUR;1078.0;1.0;0.0;1.0;2000-05-07 00:00:00+00:00;2000-06-01 00:00:00+00:00;25.0
2000-0276-MEX;2000-0317-MEX;1806.0;0.01;1.0;1.0;2000-05-13 00:00:00+00:00;2000-05-30 00:00:00+00:00;17.0
2000-0277-RUS;2000-0457-RUS;22270.0;0.0;1.0;1.0;2000-05-13 00:00:00+00:00;2000-07-19 00:00:00+00:00;67.0
2000-0277-RUS;2000-0549-RUS;146258.0;0.02;1.0;1.0;2000-05-13 00:00:00+00:00;2000-08-28 00:00:00+00:00;107.0
2000-0277-RUS;2000-0705-RUS;146343.0;0.02;1.0;1.0;2000-05-13 00:00:00+00:00;2000-10-10 00:00:00+00:00;150.0
2000-0281-TUR;2000-0381-TUR;33787.0;1.0;0.03;1.0;2000-05-27 00:00:00+00:00;2000-06-01 00:00:00+00:00;5.0
2000-0291-TUR;2000-0381-TUR;5972.0;1.0;0.0;1.0;2000-06-06 00:00:00+00:00;2000-06-01 00:00:00+00:00;5.0
2000-0294-BGD;2000-0555-BGD;5557.0;0.15;0.98;0.98;2000-05-23 00:00:00+00:00;2000-08-30 00:00:00+00:00;99.0
2000-0296-USA;2000-9339-USA;2930.0;1.0;0.0;1.0;2000-05-19 00:00:00+00:00;2000-06-01 00:00:00+00:00;13.0
2000-0297-USA;2000-0433-USA;6667.0;0.75;0.01;0.75;2000-05-23 00:00:00+00:00;2000-07-01 00:00:00+00:00;39.0
2000-0297-USA;2000-0919-USA;6654.0;0.75;0.0;0.75;2000-05-23 00:00:00+00:00;2000-01-22 00:00:00+00:00;122.0
2000-0297-USA;2000-9339-USA;6667.0;0.75;0.0;0.75;2000-05-23 00:00:00+00:00;2000-06-01 00:00:00+00:00;9.0
2000-0298-CHN;2000-0302-CHN;652556.0;1.0;0.37;1.0;2000-06-06 00:00:00+00:00;2000-05-31 00:00:00+00:00;6.0
2000-0299-GTM;2000-0609-GTM;16172.0;0.4;1.0;1.0;2000-06-06 00:00:00+00:00;2000-09-15 00:00:00+00:00;101.0
2000-0302-CHN;2000-0326-CHN;877569.0;0.5;1.0;1.0;2000-05-31 00:00:00+00:00;2000-06-05 00:00:00+00:00;5.0
