Event1;Event2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2000-0003-BGD;2000-0023-BGD;295.0;0.0;0.98;0.98;2000-01-01 00:00:00+00:00;2000-01-02 00:00:00+00:00;1.0
2000-0003-BGD;2000-0146-BGD;2322.0;0.01;1.0;1.0;2000-01-01 00:00:00+00:00;2000-03-05 00:00:00+00:00;64.0
2000-0021-USA;2000-0080-USA;166425.0;1.0;0.44;1.0;2000-01-02 00:00:00+00:00;2000-02-18 00:00:00+00:00;47.0
2000-0021-USA;2000-0919-USA;140.0;0.0;0.0;0.0;2000-01-02 00:00:00+00:00;2000-01-22 00:00:00+00:00;20.0
2000-0028-ROU;2000-0167-ROU;28462.0;0.45;0.5;0.5;2000-01-01 00:00:00+00:00;2000-03-01 00:00:00+00:00;60.0
2000-0029-BGR;2000-9788-BGR;13211.0;1.0;0.06;1.0;2000-01-01 00:00:00+00:00;2000-03-01 00:00:00+00:00;60.0
2000-0033-CHN;2000-0036-CHN;468714.0;1.0;1.0;1.0;2000-01-14 00:00:00+00:00;2000-01-26 00:00:00+00:00;12.0
2000-0067-USA;2000-0232-USA;6666.0;0.01;0.02;0.02;2000-02-13 00:00:00+00:00;2000-05-06 00:00:00+00:00;83.0
2000-0067-USA;2000-0919-USA;193375.0;0.32;0.11;0.32;2000-02-13 00:00:00+00:00;2000-01-22 00:00:00+00:00;22.0
2000-0076-ISL;2000-0335-ISL;129460.0;0.7;1.0;1.0;2000-06-21 00:00:00+00:00;2000-06-17 00:00:00+00:00;4.0
2000-0080-USA;2000-0232-USA;14.0;0.0;0.0;0.0;2000-02-18 00:00:00+00:00;2000-05-06 00:00:00+00:00;78.0
2000-0080-USA;2000-0919-USA;184.0;0.0;0.0;0.0;2000-02-18 00:00:00+00:00;2000-01-22 00:00:00+00:00;27.0
2000-0097-AUS;2000-0214-AUS;58726.0;0.05;0.03;0.05;2000-02-27 00:00:00+00:00;2000-04-03 00:00:00+00:00;36.0
2000-0111-MEX;2000-0611-MEX;0.0;0.0;0.0;0.0;2000-08-09 00:00:00+00:00;2000-09-21 00:00:00+00:00;43.0
2000-0116-ARG;2000-0255-ARG;230255.0;0.25;0.22;0.25;2000-03-09 00:00:00+00:00;2000-05-15 00:00:00+00:00;67.0
2000-0167-ROU;2000-0187-ROU;56630.0;0.99;0.28;0.99;2000-03-01 00:00:00+00:00;2000-04-05 00:00:00+00:00;35.0
2000-0175-USA;2000-9339-USA;3286.0;1.0;0.0;1.0;2000-03-28 00:00:00+00:00;2000-06-01 00:00:00+00:00;65.0
2000-0187-ROU;2000-0380-ROU;24.0;0.0;0.0;0.0;2000-04-05 00:00:00+00:00;2000-07-01 00:00:00+00:00;87.0
2000-0187-ROU;2000-9328-ROU;21681.0;0.11;0.24;0.24;2000-04-05 00:00:00+00:00;2000-06-01 00:00:00+00:00;57.0
2000-0200-CHN;2000-0302-CHN;211993.0;1.0;0.12;1.0;2000-04-13 00:00:00+00:00;2000-05-31 00:00:00+00:00;48.0
2000-0202-RUS;2000-0277-RUS;437.0;0.0;0.0;0.0;2000-04-14 00:00:00+00:00;2000-05-13 00:00:00+00:00;29.0
2000-0206-ECU;2000-0266-ECU;28.0;0.01;0.0;0.01;2000-04-12 00:00:00+00:00;2000-05-22 00:00:00+00:00;40.0
2000-0211-BGD;2000-0229-BGD;406.0;0.02;0.06;0.06;2000-04-21 00:00:00+00:00;2000-04-11 00:00:00+00:00;10.0
2000-0211-BGD;2000-0283-BGD;19.0;0.0;0.0;0.0;2000-04-21 00:00:00+00:00;2000-05-27 00:00:00+00:00;36.0
2000-0211-BGD;2000-0373-BGD;20209.0;0.98;0.85;0.98;2000-04-21 00:00:00+00:00;2000-06-24 00:00:00+00:00;64.0
2000-0229-BGD;2000-0283-BGD;85.0;0.01;0.0;0.01;2000-04-11 00:00:00+00:00;2000-05-27 00:00:00+00:00;46.0
2000-0230-IDN;2000-0469-IDN;11387.0;0.93;0.99;0.99;2000-05-04 00:00:00+00:00;2000-06-24 00:00:00+00:00;51.0
2000-0232-USA;2000-0297-USA;8866.0;0.03;1.0;1.0;2000-05-06 00:00:00+00:00;2000-05-23 00:00:00+00:00;17.0
2000-0232-USA;2000-0338-USA;11.0;0.0;0.0;0.0;2000-05-06 00:00:00+00:00;2000-05-26 00:00:00+00:00;20.0
2000-0232-USA;2000-0433-USA;6667.0;0.02;0.01;0.02;2000-05-06 00:00:00+00:00;2000-07-01 00:00:00+00:00;56.0
2000-0232-USA;2000-9339-USA;6667.0;0.02;0.0;0.02;2000-05-06 00:00:00+00:00;2000-06-01 00:00:00+00:00;26.0
2000-0255-ARG;2000-0421-ARG;478971.0;0.46;0.36;0.46;2000-05-15 00:00:00+00:00;2000-06-17 00:00:00+00:00;33.0
2000-0257-PHL;2000-0396-PHL;37.0;0.0;1.0;1.0;2000-05-18 00:00:00+00:00;2000-07-05 00:00:00+00:00;48.0
2000-0257-PHL;2000-0397-PHL;10096.0;0.44;0.19;0.44;2000-05-18 00:00:00+00:00;2000-07-07 00:00:00+00:00;50.0
2000-0272-TUR;2000-0381-TUR;1078.0;1.0;0.0;1.0;2000-05-07 00:00:00+00:00;2000-06-01 00:00:00+00:00;25.0
2000-0276-MEX;2000-0317-MEX;1806.0;0.01;1.0;1.0;2000-05-13 00:00:00+00:00;2000-05-30 00:00:00+00:00;17.0
2000-0276-MEX;2000-0333-MEX;38.0;0.0;0.0;0.0;2000-05-13 00:00:00+00:00;2000-06-10 00:00:00+00:00;28.0
2000-0277-RUS;2000-0457-RUS;22270.0;0.0;1.0;1.0;2000-05-13 00:00:00+00:00;2000-07-19 00:00:00+00:00;67.0
2000-0281-TUR;2000-0381-TUR;33787.0;1.0;0.03;1.0;2000-05-27 00:00:00+00:00;2000-06-01 00:00:00+00:00;5.0
2000-0283-BGD;2000-0294-BGD;7995.0;0.39;0.22;0.39;2000-05-27 00:00:00+00:00;2000-05-23 00:00:00+00:00;4.0
2000-0283-BGD;2000-0373-BGD;2481.0;0.12;0.1;0.12;2000-05-27 00:00:00+00:00;2000-06-24 00:00:00+00:00;28.0
2000-0283-BGD;2000-0631-BGD;4.0;0.0;0.0;0.0;2000-05-27 00:00:00+00:00;2000-06-25 00:00:00+00:00;29.0
2000-0291-TUR;2000-0381-TUR;5972.0;1.0;0.0;1.0;2000-06-06 00:00:00+00:00;2000-06-01 00:00:00+00:00;5.0
2000-0294-BGD;2000-0373-BGD;3474.0;0.09;0.15;0.15;2000-05-23 00:00:00+00:00;2000-06-24 00:00:00+00:00;32.0
2000-0296-USA;2000-9339-USA;2930.0;1.0;0.0;1.0;2000-05-19 00:00:00+00:00;2000-06-01 00:00:00+00:00;13.0
2000-0297-USA;2000-0433-USA;6667.0;0.75;0.01;0.75;2000-05-23 00:00:00+00:00;2000-07-01 00:00:00+00:00;39.0
2000-0297-USA;2000-9339-USA;6667.0;0.75;0.0;0.75;2000-05-23 00:00:00+00:00;2000-06-01 00:00:00+00:00;9.0
2000-0298-CHN;2000-0302-CHN;652556.0;1.0;0.37;1.0;2000-06-06 00:00:00+00:00;2000-05-31 00:00:00+00:00;6.0
2000-0298-CHN;2000-0472-CHN;227.0;0.0;0.0;0.0;2000-06-06 00:00:00+00:00;2000-07-11 00:00:00+00:00;35.0
2000-0302-CHN;2000-0326-CHN;877569.0;0.5;1.0;1.0;2000-05-31 00:00:00+00:00;2000-06-05 00:00:00+00:00;5.0
2000-0302-CHN;2000-0376-CHN;221945.0;0.13;1.0;1.0;2000-05-31 00:00:00+00:00;2000-06-08 00:00:00+00:00;8.0
2000-0302-CHN;2000-0426-CHN;656224.0;0.38;1.0;1.0;2000-05-31 00:00:00+00:00;2000-07-18 00:00:00+00:00;48.0
