Record1;Record2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
1999-9388-DJI;2010-9082-DJI;12370.0;0.54;1.0;1.0;2001-06-01 00:00:00+00:00;2010-11-01 00:00:00+00:00;3440.0
2000-0002-AGO;2004-0661-AGO;1213.0;0.11;1.0;1.0;2000-01-08 00:00:00+00:00;2004-12-18 00:00:00+00:00;1806.0
2000-0003-BGD;2000-0146-BGD;2322.0;0.01;1.0;1.0;2000-01-01 00:00:00+00:00;2000-03-05 00:00:00+00:00;64.0
2000-0003-BGD;2000-0283-BGD;20466.0;0.12;1.0;1.0;2000-01-01 00:00:00+00:00;2000-05-27 00:00:00+00:00;147.0
2000-0003-BGD;2000-0294-BGD;36650.0;0.22;1.0;1.0;2000-01-01 00:00:00+00:00;2000-05-23 00:00:00+00:00;143.0
2000-0003-BGD;2000-0617-BGD;5571.0;0.03;1.0;1.0;2000-01-01 00:00:00+00:00;2000-09-01 00:00:00+00:00;244.0
2000-0003-BGD;2000-0631-BGD;14512.0;0.09;1.0;1.0;2000-01-01 00:00:00+00:00;2000-06-25 00:00:00+00:00;176.0
2000-0003-BGD;2000-0713-BGD;45897.0;0.27;1.0;1.0;2000-01-01 00:00:00+00:00;2000-10-28 00:00:00+00:00;301.0
2000-0003-BGD;2001-0734-BGD;21744.0;0.13;1.0;1.0;2000-01-01 00:00:00+00:00;2001-12-01 00:00:00+00:00;700.0
2000-0003-BGD;2002-0211-BGD;2481.0;0.01;1.0;1.0;2000-01-01 00:00:00+00:00;2002-03-25 00:00:00+00:00;814.0
2000-0003-BGD;2002-0402-BGD;65064.0;0.39;1.0;1.0;2000-01-01 00:00:00+00:00;2002-07-01 00:00:00+00:00;912.0
2000-0003-BGD;2002-0425-BGD;22033.0;0.13;1.0;1.0;2000-01-01 00:00:00+00:00;2002-07-14 00:00:00+00:00;925.0
2000-0003-BGD;2002-0819-BGD;42199.0;0.25;1.0;1.0;2000-01-01 00:00:00+00:00;2002-12-15 00:00:00+00:00;1079.0
2000-0003-BGD;2003-0190-BGD;37391.0;0.22;1.0;1.0;2000-01-01 00:00:00+00:00;2003-04-16 00:00:00+00:00;1201.0
2000-0003-BGD;2003-0250-BGD;84123.0;0.5;1.0;1.0;2000-01-01 00:00:00+00:00;2003-05-10 00:00:00+00:00;1225.0
2000-0003-BGD;2003-0452-BGD;36650.0;0.22;1.0;1.0;2000-01-01 00:00:00+00:00;2003-07-26 00:00:00+00:00;1302.0
2000-0003-BGD;2003-0636-BGD;116240.0;0.69;1.0;1.0;2000-01-01 00:00:00+00:00;2003-12-15 00:00:00+00:00;1444.0
2000-0003-BGD;2004-0166-BGD;8699.0;0.05;1.0;1.0;2000-01-01 00:00:00+00:00;2004-04-14 00:00:00+00:00;1565.0
2000-0003-BGD;2004-0659-BGD;72817.0;0.43;1.0;1.0;2000-01-01 00:00:00+00:00;2004-12-26 00:00:00+00:00;1821.0
2000-0003-BGD;2005-0190-BGD;9825.0;0.06;1.0;1.0;2000-01-01 00:00:00+00:00;2005-03-31 00:00:00+00:00;1916.0
2000-0003-BGD;2005-0259-BGD;5185.0;0.03;1.0;1.0;2000-01-01 00:00:00+00:00;2005-05-21 00:00:00+00:00;1967.0
2000-0003-BGD;2005-0273-BGD;2910.0;0.02;1.0;1.0;2000-01-01 00:00:00+00:00;2005-05-14 00:00:00+00:00;1960.0
2000-0003-BGD;2005-0323-BGD;167437.0;1.0;1.0;1.0;2000-01-01 00:00:00+00:00;2005-07-01 00:00:00+00:00;2008.0
2000-0003-BGD;2005-0391-BGD;2481.0;0.01;1.0;1.0;2000-01-01 00:00:00+00:00;2005-06-30 00:00:00+00:00;2007.0
