Dis No 1;Dis No 2;Hazard 1;Hazard 2;Start Date 1;End Date 1;Start Date 2;End Date 2;Country 1;Country 2;Magnitude 1;Magnitude 2;Total Deaths 1;Total Deaths 2;Total Deaths 12;Total Affected 1;Total Affected 2;Total Affected 12;Total Damages 1;Total Damages 2;Total Damages 12
1999-9388-DJI;;dr;;2001-06-01 00:00:00+00:00;;;;Djibouti;;;;;;;100000.0;;;;;
2000-0002-AGO;;fl;;2000-01-08 00:00:00+00:00;2000-01-15 00:00:00+00:00;;;Angola;;47000.0;;31.0;;;70000.0;;;16995.0;;
2000-0019-BRA;;fl;ls;2000-01-01 00:00:00+00:00;2000-01-06 00:00:00+00:00;;;Brazil;Brazil;350000.0;;;;26.0;;;70000.0;;;
2000-0020-IND;;cw;;2000-01-01 00:00:00+00:00;;;;India;;;;275.0;;;;;;;;
2000-0023-BGD;;eq;;2000-01-02 00:00:00+00:00;2000-01-02 00:00:00+00:00;;;Bangladesh;;4.0;;;;;1000.0;;;;;
2000-0033-CHN;2000-0036-CHN;eq;eq;2000-01-14 00:00:00+00:00;2000-01-14 00:00:00+00:00;2000-01-26 00:00:00+00:00;2000-01-26 00:00:00+00:00;China;China;6.0;5.0;7.0;1.0;8.0;1855007.0;10302.0;1865309.0;124914.0;821.0;125735.0
2000-0038-PHL;;fl;ls;2000-01-28 00:00:00+00:00;2000-02-01 00:00:00+00:00;;;Philippines (the);Philippines (the);16700.0;;;;50.0;;;153885.0;;;6934.0
2000-0041-CHN;;eq;;2000-01-11 00:00:00+00:00;2000-01-11 00:00:00+00:00;;;China;;5.0;;;;;62030.0;;;;;
2000-0051-IRN;;eq;;2000-02-02 00:00:00+00:00;2000-02-02 00:00:00+00:00;;;Iran (Islamic Republic of);;5.0;;1.0;;;2015.0;;;;;
2000-0065-IRN;;eq;;2000-02-14 00:00:00+00:00;2000-02-14 00:00:00+00:00;;;Iran (Islamic Republic of);;5.0;;;;;1000.0;;;;;
2000-0066-PHL;;fl;;2000-01-22 00:00:00+00:00;2000-01-22 00:00:00+00:00;;;Philippines (the);;3.0;;;;;5250.0;;;;;
2000-0335-ISL;2000-0076-ISL;eq;eq;2000-06-17 00:00:00+00:00;2000-06-17 00:00:00+00:00;2000-06-21 00:00:00+00:00;2000-06-21 00:00:00+00:00;Iceland;Iceland;7.0;7.0;;;;91.0;108.0;199.0;20394.0;20394.0;40788.0
2000-0081-COL;;eq;;2000-11-08 00:00:00+00:00;2000-11-08 00:00:00+00:00;;;Colombia;;7.0;;2.0;;;430.0;;;;;
2000-0092-EGY;;cw;;2000-01-01 00:00:00+00:00;;;;Egypt;;2.0;;3.0;;;105.0;;;;;
2000-0094-ISR;;ew;;2000-01-19 00:00:00+00:00;2000-01-19 00:00:00+00:00;;;Israel;;100.0;;3.0;;;410.0;;;4674.0;;
2000-0098-COL;;fl;;2000-02-01 00:00:00+00:00;;;;Colombia;;;;8.0;;;39000.0;;;;;
2000-0107-MDG;;ew;fl;2000-02-17 00:00:00+00:00;2000-03-11 00:00:00+00:00;;;Madagascar;Madagascar;;;;;130.0;;;736937.0;;;15296.0
2000-0111-MEX;;eq;;2000-08-09 00:00:00+00:00;2000-08-09 00:00:00+00:00;;;Mexico;;7.0;;;;;1.0;;;;;
2000-0129-PER;;fl;ls;2000-03-16 00:00:00+00:00;2000-03-16 00:00:00+00:00;;;Peru;Peru;;;;;22.0;;;50.0;;;
2000-0116-ARG;2000-0130-BOL;fl;fl;2000-03-09 00:00:00+00:00;2000-03-17 00:00:00+00:00;2000-03-13 00:00:00+00:00;2000-03-15 00:00:00+00:00;Argentina;Bolivia (Plurinational State of);;750.0;7.0;;;6000.0;7000.0;13000.0;;;
2000-0146-BGD;;ew;;2000-03-05 00:00:00+00:00;2000-03-05 00:00:00+00:00;;;Bangladesh;;;;;;;3050.0;;;;;
2000-0152-AGO;;fl;;2000-03-27 00:00:00+00:00;2000-03-27 00:00:00+00:00;;;Angola;;;;3.0;;;6000.0;;;;;
2000-0156-CHN;;ew;;2000-03-28 00:00:00+00:00;2000-03-28 00:00:00+00:00;;;China;;79.0;;16.0;;;53.0;;;;;
2000-0163-CHN;;ew;;2000-01-10 00:00:00+00:00;2000-01-10 00:00:00+00:00;;;China;;;;9.0;;;18004.0;;;5268.0;;
2000-0164-RUS;;ls;;2000-01-19 00:00:00+00:00;2000-01-19 00:00:00+00:00;;;Russian Federation (the);;;;20.0;;;;;;;;
2000-0165-RUS;;cw;;2000-02-01 00:00:00+00:00;;;;Russian Federation (the);;;;13.0;;;252.0;;;;;
2000-0175-USA;;ew;;2000-03-28 00:00:00+00:00;2000-03-28 00:00:00+00:00;;;United States of America (the);;;;5.0;;;3300.0;;;764777.0;;
2000-0176-JPN;;vo;;2000-03-31 00:00:00+00:00;2000-04-13 00:00:00+00:00;;;Japan;;;;;;;12400.0;;;;;
